a,b
Gaming Industries,0.31502180697709214
Limited-Service Restaurants Fast-food restaurants,0.12275070417149098
"Arts, Entertainment and Recreation",0.090836634496469
Limited-Service Restaurants Fast casual restaurants,0.08606675943221516
Unknown,0.07906689620783168
